red,green,blue
35,0,39
36,7,44
37,12,48
38,17,51
39,19,53
40,20,54
41,21,55
42,22,56
43,23,57
44,24,58
45,25,59
46,26,60
47,27,61
48,28,62
49,29,63
50,30,64
51,33,65
52,35,66
53,36,67
54,38,68
55,39,69
56,41,70
57,43,71
58,45,72
59,47,73
60,52,74
61,59,76
73,68,84
81,74,90
85,78,93
87,83,95
89,87,98
92,91,101
97,95,105
102,100,108
107,104,112
111,109,116
114,112,119
117,114,121
119,117,124
122,120,127
125,125,130
128,130,135
132,136,140
136,141,144
142,146,146
148,151,147
155,155,148
161,160,149
167,167,153
171,175,164
176,183,176
181,191,184
189,195,189
200,196,191
212,197,194
220,199,199
225,206,205
229,212,211
233,219,218
236,226,224
239,234,231
242,241,238
244,249,245
247,256,252
251,263,258
256,269,261
263,275,265
271,282,269
281,292,278
297,307,293
313,323,308
324,338,320
329,349,326
330,358,331
331,366,336
332,373,342
336,376,349
340,377,356
345,378,363
351,379,370
358,384,378
366,393,386
374,402,395
382,410,404
389,418,413
396,426,423
403,433,433
410,441,443
419,446,454
428,450,466
437,454,478
446,458,489
455,465,498
464,472,507
473,481,515
482,491,523
493,502,532
507,514,542
522,526,551
536,538,561
546,548,573
556,558,587
566,567,602
577,576,616
587,587,627
597,600,637
607,613,646
617,625,654
625,632,661
626,633,665
627,634,670
628,635,677
632,640,688
647,653,700
663,667,712
677,679,724
688,691,736
698,702,748
708,714,760
719,725,772
730,737,784
742,751,797
755,764,811
767,777,824
776,786,834
777,788,838
778,789,840
779,790,844
786,794,854
796,801,866
808,810,879
823,821,890
840,835,900
858,850,909
877,866,917
895,883,927
913,901,937
930,919,948
947,937,959
963,955,970
977,971,982
989,987,993
999,1003,1004
1010,1019,1016
1021,1035,1028
1034,1050,1042
1047,1065,1058
1061,1080,1075
1080,1099,1094
1112,1129,1117
1150,1163,1141
1184,1194,1163
1207,1216,1182
1226,1236,1200
1244,1256,1218
1263,1276,1235
1285,1296,1252
1307,1315,1268
1329,1335,1284
1352,1355,1300
1375,1375,1316
1402,1396,1331
1430,1416,1346
1457,1437,1361
1480,1456,1374
1499,1471,1383
1514,1485,1389
1525,1499,1397
1532,1514,1409
1537,1533,1425
1541,1552,1444
1546,1570,1463
1552,1583,1485
1559,1589,1511
1567,1592,1540
1574,1594,1568
1583,1601,1588
1597,1610,1593
1615,1622,1594
1634,1637,1599
1656,1658,1619
1690,1694,1652
1730,1736,1688
1764,1773,1720
1783,1796,1742
1784,1816,1760
1785,1835,1779
1786,1854,1797
1787,1874,1814
1808,1894,1831
1832,1915,1847
1853,1935,1863
1869,1953,1875
1882,1961,1876
1895,1964,1877
1908,1969,1878
1925,1985,1879
1945,2012,1886
1968,2044,1926
1989,2072,1962
2006,2090,1985
2018,2105,1998
2026,2119,2010
2036,2132,2027
2052,2143,2054
2072,2153,2085
2095,2161,2116
2121,2172,2147
2149,2188,2177
2186,2207,2208
2225,2228,2238
2261,2249,2268
2285,2268,2296
2303,2285,2314
2321,2302,2326
2338,2320,2338
2357,2342,2356
2377,2368,2379
2398,2394,2404
2420,2421,2430
2444,2448,2457
2486,2476,2493
2537,2503,2533
2583,2530,2571
2610,2557,2599
2616,2578,2602
2617,2597,2603
2618,2616,2604
2632,2640,2609
2656,2669,2642
2681,2699,2679
2707,2729,2714
2733,2754,2742
2761,2778,2767
2788,2801,2792
2816,2824,2818
2844,2846,2843
2874,2868,2870
2907,2889,2897
2939,2909,2925
2967,2928,2949
2981,2937,2956
2986,2940,2957
2995,2944,2958
3018,2959,2968
3052,2983,2994
3090,3013,3025
3126,3050,3060
3156,3092,3100
3184,3140,3141
3211,3192,3182
3238,3242,3223
3266,3287,3264
3296,3328,3305
3327,3365,3345
3357,3398,3386
3384,3425,3424
3385,3445,3426
3386,3459,3427
3387,3470,3428
3388,3480,3429
3389,3481,3430
3403,3482,3441
3440,3483,3476
3482,3484,3515
3543,3521,3563
3614,3574,3615
3680,3625,3663
3726,3659,3700
3736,3676,3717
3737,3687,3722
3738,3701,3729
3760,3725,3749
3808,3758,3778
3857,3796,3811
3906,3836,3847
3954,3878,3884
4003,3934,3933
4052,3998,3989
4100,4058,4042
4147,4101,4082
4152,4104,4084
4153,4105,4085
4154,4106,4086
4155,4107,4087
4156,4108,4090
4157,4139,4129
4164,4171,4166
4185,4199,4198
4197,4223,4228
4206,4246,4257
4217,4269,4284
4235,4295,4306
4274,4329,4326
4328,4368,4344
4381,4407,4362
4419,4440,4381
4437,4459,4400
4447,4469,4420
4459,4479,4441
4484,4501,4463
4517,4534,4492
4554,4574,4529
4593,4619,4573
4637,4668,4618
4685,4730,4667
4733,4800,4718
4782,4866,4768
4829,4917,4817
4874,4953,4861
4917,4984,4903
4960,5010,4943
5003,5036,4982
5036,5056,5008
5059,5071,5022
5082,5087,5035
5115,5111,5062
5182,5174,5138
5276,5272,5252
5372,5371,5359
5443,5435,5414
5491,5469,5430
5526,5495,5444
5550,5512,5459
5563,5521,5475
5564,5522,5492
5565,5523,5510
5566,5524,5528
5567,5525,5546
5568,5539,5575
5571,5574,5616
5606,5609,5659
5636,5643,5696
5658,5673,5711
5675,5702,5712
5693,5732,5714
5719,5765,5740
5769,5813,5797
5841,5878,5870
5913,5946,5945
5965,6005,6009
5999,6053,6063
6030,6097,6115
6057,6137,6161
6080,6170,6200
6099,6196,6229
6118,6216,6250
6137,6232,6266
6154,6246,6279
6168,6248,6280
6179,6249,6281
6189,6250,6282
6204,6251,6283
6228,6293,6319
6264,6348,6367
6313,6406,6421
6375,6458,6476
6444,6500,6533
6515,6542,6590
6586,6583,6648
6656,6626,6704
6726,6675,6757
6795,6732,6805
6863,6789,6848
6929,6841,6889
6961,6875,6912
6962,6891,6913
6963,6904,6914
6964,6930,6923
6965,6981,6974
7032,7049,7043
7110,7117,7115
7165,7170,7171
7176,7202,7209
7177,7227,7241
7178,7251,7273
7179,7278,7309
7202,7313,7352
7263,7353,7400
7333,7398,7453
7408,7446,7508
7493,7520,7582
7593,7637,7686
7693,7761,7794
7782,7860,7880
7827,7893,7912
7828,7894,7913
7829,7895,7914
7830,7896,7915
7891,7911,7916
8022,8047,8014
8159,8186,8118
8255,8278,8189
8281,8292,8200
8282,8293,8201
8283,8294,8202
8284,8295,8203
8324,8298,8204
8413,8362,8270
8502,8426,8348
8563,8479,8407
8595,8516,8440
8625,8549,8468
8653,8582,8496
8681,8618,8527
8707,8660,8565
8732,8709,8607
8757,8762,8652
8782,8817,8700
8832,8887,8762
8931,8988,8854
9040,9096,8951
9119,9181,9029
9120,9198,9049
9121,9199,9050
9122,9200,9051
9123,9201,9052
9124,9202,9053
9125,9203,9054
9126,9209,9082
9127,9279,9164
9171,9351,9259
9264,9424,9358
9359,9497,9459
9452,9569,9558
9540,9641,9654
9624,9712,9744
9701,9781,9828
9771,9848,9903
9780,9849,9904
9781,9850,9905
9782,9851,9906
9783,9852,9907
9784,9853,9908
9785,9854,9909
9786,9855,9910
9787,9856,9911
9788,9857,9912
9789,9858,9913
9790,9859,9914
9791,9860,9915
9792,9861,9916
9827,9862,9917
9871,9863,9918
9923,9864,9919
10021,9915,9939
10233,10185,10172
10474,10499,10443
10650,10731,10655
10710,10819,10757
10748,10888,10840
10782,10950,10912
10822,11005,10973
10873,11052,11021
10925,11092,11056
10981,11132,11091
11045,11183,11142
11126,11254,11221
11242,11348,11319
11372,11452,11425
11493,11551,11528
11587,11637,11618
11664,11712,11699
11727,11779,11774
11778,11840,11843
11803,11875,11886
11804,11876,11887
11805,11877,11888
11806,11878,11889
11807,11879,11890
11877,11960,12004
12017,12133,12174
12125,12265,12301
12173,12318,12351
12205,12358,12393
12234,12396,12434
12270,12437,12474
12317,12486,12515
12372,12539,12555
12428,12592,12596
12476,12640,12635
12511,12677,12666
12534,12694,12667
12552,12703,12668
12571,12713,12669
12597,12733,12670
12629,12761,12671
12667,12797,12672
12711,12842,12681
12780,12915,12745
12937,13072,12909
13125,13259,13111
13271,13409,13274
13321,13476,13347
13336,13527,13398
13343,13573,13440
13359,13613,13473
13396,13649,13497
13437,13684,13510
13479,13719,13522
13525,13753,13539
13577,13785,13574
13636,13815,13638
13699,13845,13716
13760,13874,13789
13813,13903,13836
13847,13928,13837
13871,13951,13838
13901,13975,13839
13961,14027,13878
14110,14205,14051
14295,14438,14268
14451,14628,14444
14511,14695,14505
14512,14696,14506
14513,14697,14507
14514,14698,14508
14515,14699,14509
14516,14767,14564
14582,14845,14652
14684,14914,14732
14749,14963,14784
14780,14988,14801
14801,15003,14805
14832,15024,14819
14903,15074,14877
15061,15184,15020
15253,15320,15198
15411,15436,15348
15472,15484,15411
15473,15485,15412
15474,15486,15413
15475,15487,15414
15476,15488,15415
15477,15489,15416
15498,15490,15500
15576,15572,15605
15674,15690,15736
15799,15886,15948
15934,16116,16191
16055,16319,16392
16138,16425,16483
16191,16426,16484
16232,16427,16485
16281,16428,16486
16353,16429,16487
16438,16458,16489
16528,16628,16557
16613,16781,16627
16690,16888,16701
16763,16985,16781
16830,17074,16861
16883,17144,16935
16918,17187,16996
16946,17221,17045
16973,17252,17088
16998,17285,17129
17024,17320,17170
17048,17356,17205
17070,17394,17238
17095,17435,17279
17132,17484,17338
17259,17548,17423
17446,17623,17526
17630,17703,17630
17755,17782,17725
17858,17875,17815
17956,17973,17903
18044,18061,17987
18119,18125,18061
18186,18148,18094
18248,18149,18099
18308,18150,18103
18365,18152,18132
18407,18178,18185
18439,18213,18254
18474,18259,18335
18531,18325,18433
18709,18509,18641
18946,18762,18900
19130,18990,19098
19163,19102,19138
19164,19152,19139
19165,19180,19140
19166,19190,19141
19167,19191,19142
19168,19192,19143
19169,19193,19144
19170,19194,19145
19171,19195,19146
19172,19196,19147
19173,19273,19192
19224,19375,19330
19328,19463,19433
19426,19538,19507
19524,19608,19574
19625,19679,19645
19729,19764,19733
19851,19940,19888
19985,20174,20083
20113,20388,20261
20222,20507,20369
20305,20514,20412
20371,20515,20429
20427,20516,20456
20481,20517,20521
20514,20571,20605
20531,20666,20689
20555,20757,20772
20609,20836,20856
20751,20899,20940
20952,20956,21024
21153,21013,21107
21295,21081,21192
21386,21204,21301
21447,21365,21428
21484,21520,21554
21496,21621,21652
21497,21622,21653
21498,21623,21654
21499,21624,21655
21500,21625,21656
21501,21626,21657
21502,21627,21658
21625,21698,21758
21775,21859,21934
21926,22080,22139
22079,22339,22362
22229,22575,22570
22373,22724,22728
22429,22725,22737
22430,22726,22738
22431,22727,22739
22432,22728,22740
22433,22729,22741
22434,22730,22742
22494,22731,22743
22578,22830,22851
22793,23049,23075
23120,23336,23374
23443,23607,23658
23640,23776,23836
23641,23777,23837
23642,23778,23838
23643,23779,23839
